GID	control_0h	experimental_1h	experimental_2h	experimental_4h	control_1h	control_2h	control_4h	experimental_0h
Cre01.g006150	9.10045	7.30723	9.69111	8.57945	8.90478	7.83095	11.4416	14.0948
Cre01.g006450	0	0	0	0	0	0	0	0
Cre01.g006600	0	0	0	0	0	0	0	0
Cre01.g006614	0	0.00484489	0	0	0.00547305	0	0	0
Cre01.g006766	0	0	0	0	0	0	0	0
Cre01.g006800	4.68991	5.55804	4.69625	4.01895	4.20934	4.10114	4.41367	4.87458
Cre01.g006850	13.5944	14.6536	13.6411	14.9527	13.8237	12.8238	11.1887	12.2838
Cre01.g006900	1.47942	0.810935	1.01984	1.40128	0.762057	0.869025	1.22165	1.07236
Cre01.g006950	45.799	94.7486	80.2037	58.5442	111.057	89.8145	56.5401	156.679
Cre01.g007000	2.4307	16.0879	14.6391	2.42325	18.0885	16.9565	4.83955	20.7849
Cre01.g007050	7.0428	9.29269	11.1954	8.28838	10.9449	14.4967	16.1153	14.0155
Cre01.g007051	1408.72	654.215	754.137	1436.45	751.926	814.186	1344.31	895.646
Cre01.g007100	1.42757	1.29744	1.40795	1.49184	1.12739	1.39876	1.50124	1.31544
Cre01.g007150	5.04946	4.12473	4.9485	4.90327	2.8307	4.52504	4.02377	2.88438
Cre01.g007200	11.3083	11.4528	13.0901	11.0139	11.1588	12.4528	10.9501	10.9529
Cre01.g007251	0.0425143	0.520512	0.431513	0.403092	1.45929	0.344536	0.448309	0.736288
Cre01.g007300	5.4783	2.69373	4.62572	4.18389	2.34292	4.38782	3.16144	1.21065
Cre01.g007350	20.8732	19.8874	19.2764	15.4876	10.4062	16.2354	10.4191	10.5874
Cre01.g007400	2.38357	1.45278	1.88427	2.65094	2.24789	1.84636	4.82109	3.97672
Cre01.g007450	0.00226795	0.0243558	0.0406545	0.00728662	0.0332213	0.169135	0.00386649	0.00505307
Cre01.g007500	0.320055	1.95284	1.79794	0.449638	2.12149	2.32276	0.688572	1.72736
Cre01.g007550	3.54301	4.51394	4.94435	3.72016	3.12867	4.09805	5.03658	3.56341
Cre01.g007600	30.1851	24.4428	28.2006	29.1471	24.7374	32.7708	55.2398	30.7151
Cre01.g007651	4.81575	2.46409	3.85896	3.56606	2.53223	3.10719	3.56328	2.05909
Cre01.g007700	46.0775	44.6893	27.7819	44.636	30.367	20.1587	41.8051	24.9176
Cre01.g007737	9.85901	9.5262	5.76174	13.6119	14.3862	7.11612	12.7516	16.7445
Cre01.g007774	12.8393	11.697	14.5844	11.7737	11.9119	14.7456	11.38	9.49826
Cre01.g007811	3.10876	3.24846	3.15732	2.51805	2.01624	2.53831	1.7213	2.56501
Cre01.g007850	111.239	72.6035	73.2845	105.813	76.0171	80.8401	110.144	62.6294
Cre01.g007901	17.9637	10.4478	13.1226	16.2862	12.0169	12.4474	20.592	13.5182
Cre01.g007950	3.22425	1.28743	3.74758	4.25702	1.32611	4.59579	3.3658	1.03922
Cre01.g008000	4.06815	2.95987	2.32479	3.92571	2.52272	2.11059	3.59402	2.28172
Cre01.g008051	7.50695	9.56591	7.58648	6.82836	7.45644	7.86433	7.03104	8.74689
Cre01.g008100	7.06692	17.3427	22.1567	8.72699	20.3982	21.3274	6.64022	12.7308
Cre01.g008150	1.89513	2.28571	2.00387	2.26554	3.06442	2.07165	3.46013	3.95798
Cre01.g008200	1.44019	1.09864	1.20166	1.20266	1.19192	0.979703	1.35468	1.00943
Cre01.g008250	0.066436	0.0298166	0.0930357	0.0459829	0.060423	0.140878	0.0456792	0.00211306
Cre01.g008300	0.109178	7.54375	14.378	0.116771	10.1795	19.3562	0.183855	3.68482
Cre01.g008350	0.430771	8.6466	10.8358	0.620737	13.9821	13.631	0.889069	10.7807
Cre01.g008450	10.5632	14.2327	12.7419	8.74679	7.54791	10.0817	5.5039	8.77301
Cre01.g008500	4.01891	4.42872	4.4508	3.59873	3.08987	3.82576	2.18608	2.9947
Cre01.g008550	21.243	19.3466	17.2655	18.5827	11.5491	16.9152	20.2807	17.4873
Cre01.g008600	1.88086	1.64099	1.9214	1.80573	1.53154	1.68667	1.45941	1.45015
Cre01.g008650	4.93018	14.4857	10.3561	9.06065	24.3048	16.5968	5.83719	19.0654
Cre01.g008700	7.27956	19.3458	13.107	11.6097	30.3101	19.5302	8.27486	24.0527
Cre01.g008750	0.0105635	0.0190376	0.0210412	0	0.0137558	0.00505379	0.00658575	0.00254492
Cre01.g008800	0.663153	0.455881	0.64335	0.69346	0.390437	0.704192	1.0485	0.373157
Cre01.g008850	16.6989	12.0611	9.23864	22.488	15.0603	11.6852	18.0584	8.54799
Cre01.g008891	1.80959	1.65998	1.9674	1.95363	1.91017	2.16569	2.60591	2.7335
Cre01.g008900	0	0	0	0	0	0	0	0
Cre01.g008950	16.4835	19.6213	14.4847	18.3523	17.841	14.3557	13.4507	16.6879
Cre01.g009000	3.085	4.18321	2.50651	3.71125	5.12649	2.70683	10.3704	7.06379
Cre01.g009050	0	0.0156943	0.0314744	0	0	0	0	0
Cre01.g009101	3.41288	1.90644	2.36341	2.57355	3.01368	3.42605	5.00267	3.79129
Cre01.g009150	1.36432	1.93047	1.81624	1.64452	2.07434	1.9846	1.24514	2.73814
