gene_id,gene_symbol
Cre02.g142146,HCF244
Cre02.g142186,FTSZ2
Cre02.g142266,CYP97A5
Cre02.g142350,UFC1
Cre02.g142352,TSH1
Cre02.g142607,SENP2
Cre02.g142687,FAP332
Cre02.g142800,TRXZ1
Cre02.g142850,SMP11
Cre02.g143000,GPAT1
Cre02.g143050,RPLP2
Cre02.g143200,TSA1
Cre02.g143250,IDH2
Cre02.g143307,CLPC1
Cre02.g143550,ELIP3
Cre02.g143600,FEE1
Cre02.g143667,PLAP9
Cre02.g144250,CYP769A1
Cre02.g144350,RJL1
Cre02.g144400,MRPS12
Cre02.g144450,FAP1
Cre02.g144600,PTB9
Cre02.g144650,PTB12
Cre02.g144700,PTB5
Cre02.g144750,PTB4
Cre02.g144800,LCI8
Cre02.g144850,CGLD26
Cre02.g145000,RBF1
Cre02.g145050,CMK1
Cre02.g145100,FAP39
Cre02.g145250,RPS27E2
Cre02.g145800,MDH3
Cre02.g145850,FAP112
Cre02.g146050,ATO2
Cre02.g146250,NIFS1
Cre02.g146500,DYRK1
Cre02.g146600,AP4M4
Cre02.g146650,SSA11
Cre02.g146900,OPR14
Cre02.g146950,DBR1
Cre02.g147100,FAP265
Cre02.g147650,MPI1
Cre02.g147750,FAP209
Cre02.g147800,SEC14
Cre02.g147850,HSLU2
Cre02.g147900,PYK5
Cre02.g800190,XPD2
Cre03.g143827,FBB7
Cre03.g143887,TSR1
Cre03.g144164,RSEP2
Cre03.g144284,CGL110
Cre03.g144484,CDPK10
Cre03.g144564,MMP13
Cre03.g144627,CGS1
Cre03.g144667,CLPT4
Cre03.g144807,MAS1
Cre03.g144827,MIA40
Cre03.g144847,PYK4
Cre03.g145087,MTP1
Cre03.g145127,DHC13
Cre03.g145207,CPLD33
Cre03.g145247,TEF11
Cre03.g145387,FAP239
Cre03.g145447,TTLL3
Cre03.g145547,CBR1
Cre03.g145567,CGL18
Cre03.g145587,CPLD1
Cre03.g145607,BET3
Cre03.g145687,RAD2
Cre03.g145747,SHKH1
Cre03.g145767,RRP6
Cre03.g145787,HSP22C
Cre03.g145867,MRPL113
Cre03.g145887,TATC1
Cre03.g146127,FAP96
Cre03.g146167,HHL1
Cre03.g146187,ARGC1
Cre03.g146247,NUOS4
Cre03.g146467,TRS31
Cre03.g146487,XPO1
Cre03.g146507,SPT2
Cre03.g146527,GSD1
Cre03.g146727,GOX9
Cre03.g146867,FAP17
Cre03.g148050,POLI1
Cre03.g148250,CGL58
Cre03.g148950,SRRP1
Cre03.g149100,CIS2
Cre03.g149350,RWP4
Cre03.g149400,RWP11
Cre03.g149750,DMA2
Cre03.g149800,TOG1
Cre03.g150101,NRT2D
Cre03.g150151,NRT2E
Cre03.g150350,CPLD70
Cre03.g150400,PIGU1
Cre03.g150950,DPM1
Cre03.g151000,SEX4
Cre03.g151100,SSA15
Cre03.g151200,CGLD16
Cre03.g151250,LANC1
Cre03.g151700,CGL26
Cre03.g151750,SMP6A
Cre03.g151900,LZY1A
Cre03.g151950,LZY1B
Cre03.g152000,MCS1
Cre03.g152050,GOX12
Cre03.g152100,XRN2
Cre03.g152750,BAG6
Cre03.g152850,PAM1
Cre03.g153050,RWP1
Cre03.g153700,FAP347
Cre03.g153800,PIGK1
Cre03.g154000,ABCA1
Cre03.g154350,COX2A
Cre03.g154425,CLASP1
Cre03.g154550,P5CR1
Cre03.g154850,COQ4
Cre03.g155001,ISA1
Cre03.g155200,CHM1
Cre03.g155650,CLC1
